name,url,description,duration,adaptive_support,remote_support,test_type
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,Phone Banker - Short Form: This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,Prep/Line Cook Solution: The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,"Professional + 7.0 Solution: Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,"Professional + 7.1 (Americas): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,"Professional + 7.1 (International): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,"Professional 7.0 Solution: Our Professional 7.0 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,"Professional 7.1 (International): Our Professional 7.1 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,Professional 8.0 JFA: The Professional 8.0 Job-Focused Assessment is designed for all non-managerial professional/individual contributor positions. It measures behaviors that…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,"Professional/Individual Contributor - Short Form: The Professional/Individual Contributor solution is for mid to upper-level, non-managerial positions. Sample tasks for these jobs include, but are not limited…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,Project Manager - Short Form: The Project Manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. Sample tasks for this job…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Proof Operator - Processing Specialist -Short Form: The Proof Operator – Processing Specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,"Reservation Agent Solution: The Reservation Agent solution is designed for entry-level positions within the hospitality industry. Sample tasks may indlude making, updating, or canceling…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,Restaurant Manager Solution: The Restaurant Manager solution is designed for management level positions in the hospitality industry. Sample tasks include purchasing food and supplies…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,Restaurant Supervisor Solution: The Restaurant Supervisor solution is designed for management level positions in the hospitality industry. Sample tasks include serving as a staff resource…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,"Retail Consultant Solution: The Retail Consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,Retail Manager w/ Sales Solution: The Retail Manager with Sales solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,Retail Sales Associate Solution: The Retail Sales Associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,Sales Director Solution: The Sales Director solution is for mid- to senior-level sales management positions that oversee the sales function across multiple offices or geographic…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,Sales Engineer Solution: The Sales Engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. The solution is…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,Sales Manager Solution: The Sales Manager solution is an assessment used for applying to entry to mid-level sales leadership positions that generally manage employees and have a…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,"Sales Professional 7.0 Solution: Our Sales Professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,"Sales Professional 7.1 (Americas): Our Sales Professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,"Sales Professional Solution: The Sales Professional solution is for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,Sales Representative Solution: The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,Sales Supervisor Solution : The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,Sales Support Specialist Solution: The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,"Senior Insurance Agent Solution: The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,"Senior Sales Professional Solution : The Senior Sales Professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Server Solution,https://www.shl.com/products/product-catalog/view/server-solution/,"Server Solution: The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,Service Associate Solution: The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,Service Supervisor Solution: The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,Stock Clerk Solution: The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Store Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,Store Manager 7.0 Solution: Our Store Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,Store Manager 7.1 (Americas): Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,Store Manager 7.1 (International): Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,Store Manager Solution: The Store Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,Supervisor - Short Form: The Supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,Supervisor 7.0 Solution: Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,Supervisor 7.1 (Americas): Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,Supervisor 7.1 (International): Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,Support Associate Solution: The Support Associate solution is designed for entry-level positions that involve little to no interaction with customers. The solution covers a wide variety…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,Support Supervisor Solution: The Support Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,Technical Sales Associate Solution: The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,Technician/Technologist Solution: The Technician/Technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients.  Sample…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,"Technology Professional 8.0 Job Focused Assessment: The Technology Job Focused Assessment assesses  key behavioral attributes  required for success in fast-paced, rapidly evolving  technology environments…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Telenurse Solution,https://www.shl.com/products/product-catalog/view/telenurse-solution/,"Telenurse Solution: The Telenurse solution is for positions in a healthcare environment that interact with patients over the telephone.  Sample tasks for this job include, but are…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,"Teller 7.0: Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Teller with Sales - Short Form,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/,"Teller with Sales - Short Form: The Teller solution with Sales is for entry-level financial institution teller positions. Sample tasks for this job would include, but are not limited to…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,Transcriptionist Solution: The Transcriptionist solution is for entry-level clerical roles in a healthcare environment that require employees to translate medical information.  Sample…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,Workplace Safety - Individual 7.0 Solution: Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,Workplace Safety - Individual 7.1 (Americas): Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Workplace Safety - Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,Workplace Safety - Team 7.0 Solution: The Workplace Safety – Team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,Workplace Safety - Team 7.1 (Americas): The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,Workplace Safety - Team 7.1 (International): The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Workplace Safety Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-solution/,Workplace Safety Solution: The Workplace Safety Solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional + 7.1 (Americas) (Variant A0),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/?variant=0,"Professional + 7.1 (Americas): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Contact Center Customer Service 8.0 (Variant B1),https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/?variant=1,Contact Center Customer Service 8.0  : The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET MVC (New) (Variant C2),https://www.shl.com/products/product-catalog/view/net-mvc-new/?variant=2,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Sales Support Specialist Solution (Variant D3),https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/?variant=3,Sales Support Specialist Solution: The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Industrial - Entry Level 7.1 (Americas) (Variant E4),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/?variant=4,"Industrial - Entry Level 7.1 (Americas): Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Global Skills Development Report (Variant F5),https://www.shl.com/products/product-catalog/view/global-skills-development-report/?variant=5," Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Contact Center Customer Service 8.0 (Variant G6),https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/?variant=6,Contact Center Customer Service 8.0  : The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Manager 8.0 JFA (Variant H7),https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/?variant=7,Manager 8.0 JFA: The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Gaming Associate Solution (Variant I8),https://www.shl.com/products/product-catalog/view/gaming-associate-solution/?variant=8,Gaming Associate Solution: The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Senior Insurance Agent Solution (Variant J9),https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/?variant=9,"Senior Insurance Agent Solution: The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET XAML (New) (Variant K10),https://www.shl.com/products/product-catalog/view/net-xaml-new/?variant=10,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Supervisor 7.0 Solution (Variant L11),https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/?variant=11,Supervisor 7.0 Solution: Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Industrial Professional and Skilled 7.1 Solution (Variant M12),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/?variant=12,Industrial Professional and Skilled 7.1 Solution: Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET WPF (New) (Variant N13),https://www.shl.com/products/product-catalog/view/net-wpf-new/?variant=13,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
ADO.NET (New) (Variant O14),https://www.shl.com/products/product-catalog/view/ado-net-new/?variant=14,"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Professional + 7.0 Solution (Variant P15),https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/?variant=15,"Professional + 7.0 Solution: Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Supervisor 7.0 Solution (Variant Q16),https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/?variant=16,Supervisor 7.0 Solution: Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for…,0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Teller 7.0 (Variant R17),https://www.shl.com/products/product-catalog/view/teller-7-0/?variant=17,"Teller 7.0: Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the…",0,No,Yes,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
